review_ID,rating,title,review_content,reviewer,posted_date
apalmo_2023-06-13,5,Make your home really clean!,"[This review was collected as part of a promotion.] This is my first Dyson and the first time using one in a very long time if every. I always thought they were just hyped up and overpriced vacuum cleaners. I was wrong, very wrong in fact and I'm glad to have the Dyson V15 Detect! I was suspect of this being a battery operated one because battery operated devices sometimes have less power or the power diminishes when low. I would only purchase plug in ones because I wanted the most power I could get. The Dyson V15 blows any plug-in vacuum I have ever had! The power is significant and does not diminish when the battery gets low. It was so powerful that it was picking up one of my smaller rugs when vacuuming. The battery does last a decent amount of time. I was able to vacuum my whole house about 3,000 square feet and had battery left over. The battery is removable so it should be an easy replacement if ever needed. On the vacuum there is a little menu that lets you choose power boost, eco, or auto for the power/battery. I tried boost and it makes the vacuum work at a high speed to give better suction. This is great for dog hair stuck in a fabric! I mostly use the vacuum on the auto setting. When in auto it will turn up the power when it detects more dirt, then goes back to a lower speed on lighter dirt. The display also shows the particulate matter that it sucked up. I'm not sure how accurate the display can show the different particulates, but it is still nice to have a little display to show that your vacuuming effort was worth it. The Dyson V15 comes with lots of attachments, pretty much anything you need to vacuum is covered. I was able to try most of them out and saw that they worked really well. We have short hair dogs and their fur is imbedded into our sofa. I have tried like three or four different vacuums and nothing will pull it out. So my first test with this Dyson was to use the Hair Screw Tool and see if it would work on the sofa. To my surprise it worked very well and was able to clean up a lot of the hair. Next I used the Digital Motorbar, which can be used on all floors but I just tried it on our rugs. It also worked better than expected and pulled up so much hair and dirt. The Crevice Tool, yeah its just a crevice tool, but it also lights up! I thought it was just gimmicky, but actually found the light to be helpfully when cleaning in hard to see or dark spaces. The soft dusting brush was nice to use on curtains, pictures, etc. My favorite is the Laser Slim Fluffy cleaner head. This is one where it lights up the floor green to show you dirt. Again I thought why is this a thing, then after using it, it totally makes sense! We have gray laminate flooring throughout the house, it hides a lot of dog hair, dirt, and dust. I thought my floors where pretty clean, but then using the Lase Cleaner Head it showed my floors where covered in dust and dog hair. The green laser makes it super easy to see all of this so you can do a better job at vacuuming. I now use this brush head anytime I vacuum the floors so I can make sure to get everything vacuumed up. It also comes with a Low-reach adaptor which is super handy to clean under furniture. Under my bed was a mess because we could never get the vacuum under them to clean, this attachment made the task super easy. Cleanup is simple, remove attachments, go to garbage can, pull red lever and all the dirt goes right into the trash. My prior stick vacuum whenever I would empty it, I would have dirt spill out or not go directly in the trash. There is also a docking station that you can mount to the wall. The docking station holds two attachments and can charge the vacuum. I really feel like Dyson thought of everything that a person would do with a vacuum and put it into this one. The build quality is great, it works great, the attachments are great, everything is great with this vacuum! If you need a new vacuum that can clean your home, car, whatever needs cleaning, this is the one to get!",apalmo,2023-06-13T00:21:40
AlexanderD_2023-10-01,5,"Simply, one of the best!","[This review was collected as part of a promotion.] Nothing short of spectacular! Vacuuming has now become less of a daily obligation and more of an engagingly immersive experience. This Dyson V15 Detect cordless vacuum cleaner offers incredible flexibility with its handful interchangeable brush tools and precision cleaning power modes, putting you in control of your desired outcome. The V15 Detect offers a display which calculates dirt particles and allows you to switch between suction modes ranging from Eco, Auto, and Boost modes! This feature ensures you with a superior job done! The hard floor brush tool also projects a laser light to project missed dirt and debris to guarantee an extra clean. Plus, it’s really fun to vacuum with this attachment in the dark! Worth the investment. Quality product with advanced technological attributes! I’d definitely recommend!",AlexanderD,2023-10-01T02:14:28
GamerDad_2023-06-08,5,This one could replace your plug-in vacuum,"[This review was collected as part of a promotion.] The Dyson V15 Detect Extra vacuum is a powerful cordless vacuum whose performance actually rivals that of our plug-in vacuum. I think “versatile” is the word that best describes the Dyson V15 Detect. It comes with a plethora of attachments that make any cleaning task from floors to ceiling fans a breeze. One of the included accessories is the wand storage clip. It allows onboard storage of two accessory attachments. I find it’s handy for the combination tool and the crevice tool. Both are used in multiple applications. The crevice tool has a light pipe on it that illuminates the area to be cleaned. It does a great job on stairs where they meet the wall and also where the stair tread meets the riser. The lighted crevice tool is also perfect in the car because it allows me to see into and reach the dark recesses under the seats. The mini soft dusting brush made short work of removing the dust from the blinds in the kitchen and bedrooms. It has soft, flexible bristles, so it also does a bang-up job around tabletop decorations without disrupting their arrangement. The Digital Motorbar cleaner is a general-purpose vacuum head that does a great job on carpeting and rugs. It has a three-position slider to vary suction power, and that’s a good thing. On max suction, it was picking up the area rugs. Sliding it down to the minimum suction setting allows me to clean the area rugs without incident. I found that it does a good job along baseboards if I keep the head perpendicular to the baseboard, cleaning from the extreme right or left side of the head. If I pushed the head forward into the baseboard, it inevitably left behind some debris. That’s okay because the swivel head is extremely maneuverable and a turn of the wrist is all it takes to capture any fugitives from cleanup. There is another cleaner head called the “Fluffy Optic” cleaner. It projects a green light across solid surface flooring in front of the cleaner head and makes any debris stand out for easy location and cleaning. Even dust that would otherwise go unnoticed becomes glaringly obvious, and the Dyson V15 Detect does a great job of capturing even the smallest particles. A wall mount charging station is included for a convenient storage option that means your Dyson V15 Detect Extra is always ready to go to work. Alternatively, the battery is removable and can be charged while off the vacuum body. I appreciate the versatility these charging options allow. There is a color digital display that communicates vacuum status Including battery charge percentage, power setting (Eco, Medium, or Boost), and realtime details of dirt levels being picked up and remaining run time. Regarding the amount of dirt being picked up, the vacuum monitors what’s being collected in real time and automatically adjusts motor speed to effectively balance cleaning power and efficiency. Packaging indicates a run time of up to 60 minutes. I vacuumed our entire first floor, a screen porch, stairs, and a carpet runner in the garage, a project that took about 45 minutes. When I plugged in the vacuum for recharge, it indicated there was 30 percent capacity remaining. Following the first-floor vacuum, the large dust cup was pretty full. Emptying is as easy as pushing a lever on the back of the vacuum body forward. Contents of the dust cup drop into the trash. Pull the lever back into position, close the lid on the bottom of the cup, and it’s ready to go. If I have any criticism of the Dyson V15 Detect, it would be the weight and the power switch. After 30-plus minutes of continuous operation, it starts to get a little heavy. More than that, the trigger-style switch must be continuously depressed to keep the vacuum running. It’s conveniently located right where the index finger falls while holding the vacuum, but extended cleaning sessions can cause some fatigue. I think I prefer the on/off buttons of our other cordless vacuums. My impression of the Dyson V15 Detect Extra is overwhelmingly positive. It matches the performance of our plug-in vacuums in a convenient cordless package. The included accessories mean that no job is out of reach.",GamerDad,2023-06-08T18:06:51
Kaizoku_2023-06-10,5,Powerful suction and eye-opening dust detection!,"[This review was collected as part of a promotion.] Quick Overview ================================= The Dyson V15 Detect Extra is Dyson's most powerful vacuum to-date with a ton of accessories and a key new feature that may make it the best choice for those with pets, lots of long hair, and hard floors. This specific model from Best Buy also includes a pivoting right-angle tool that will help you get low under tables or furniture or high onto a ledge or shelf. Overall build and setup ================================= If you haven't used/owned a Dyson vacuum before, you're getting arguably one of the best-engineered vacuums out there. Much time (and money) have been spent on technology and R&D to develop a new suction method to provide powerful suction and filtration without losing power over time. The build is mostly plastic with their signature style including a bottom-mounted battery which leads to a grip that connects to the central suction/canister areas. You'll see a much larger canister here than on the older/smaller v6-8 models. See my pictures for a size comparison with a V7. Overall it's well-balanced and comfortable to hold. You get a ton of attachments, some which require a special callout: --Main shaft, crevice tool, right-angle adapter, fine brush, coarse brush w/extension, wall mount, carrying clip (for your favorite tool) and... --Fluffy Optic - this is made for hard floors and is the standout new one that has a low-angle green laser that illuminates dust (so much dust!) --Anti-Tangle Comb - this head is good for all floors and has high-torque to really get things clean. It has a special feature to keep hair off the rollers --Anti-Tangle Screw Hair Tool - this narrow head has a ""screw"" design which should ball up hair for pickup so it doesn't wrap around the vacuum filter in the canister One big thing you'll want to know: This doesn't have a push-button on/off. This is a trigger that must be held to use. For those that don't/can't use trigger-style vacuums, you may need to shop around. The first thing you'll want to do is plug it in to charge fully, then complete the setup which consists of selecting your language (English, in this case) and battery mode (Eco for longest life, lowest suction; Medium, for automatic adjustments; High for maximum power). Another thing you'll note is there's no mention of HEPA filtration on this model, but they do talk about the ability to filter up to 0.3 microns and expel cleaner air. Performance ================================= This is a powerful vacuum! In a house with no pets, but three girls with long hair, this grabbed hair on floors, carpets, and rugs without issue. I will say that some hair did get onto the internal filter in the canister, but perhaps we didn't get everything using the Screw Hair Tool first. I believe the ""order of operations"" should be to use the Screw Hair Tool to get your hair/fur off of most surfaces first, then use the proper tool for hard floors or carpets (Fluffy Optic or ""standard"" with Anti-Tangle Comb). After that, you'd use the smaller brushes, crevice tool, etc. As you vacuum with the Fluffy Optic, you'll see things you wish you could unsee... Yes, that bright green laser which is precisely angled will highlight all the dust and dander that you never really noticed before. It's literally an eye-opener in terms of clearly seeing what you're vacuuming up and what you've left behind (or not yet gotten to). For completionists and power-washer fans, it's a great attachment that will help you see your progress. On top of that, the rear face of the V15 shows you a bar graph with 4 categories based on the size of the particles being sucked up! From tiny allergens to crumbs/sugar-sized ones, you can see what you're cleaning. For those with allergies or sensitivity to fine dust, this can really help show if you've done a good enough job cleaning or not. I plan to establish somewhat of a ""baseline"" by keeping track of the numbers and seeing if there's any improvement as I continue to vacuum over a week/month/etc. It'd be nice if the Dyson app (used to register your V15) provided more than just marketing info, usage guides, and rudimentary troubleshooting. What if it could keep track of your stats for you? High-power mode is great, but short-lived. I didn't run down the battery, but only use this when you really need it. As for Eco mode, I could see that doing a great job if you have a lot of hard floors to clean with just dust to worry about. It should last near the stated 60-minute runtime. As for medium/auto, this is probably the best default mode if you're dealing with mixed surfaces and possible fur/hair along with dust and crumbs. You can hear the motor/suction adjusting as you vacuum based on what types/size particles it's detecting. We're getting more than 30 minutes of runtime in this mode which is enough to take care of vacuuming tasks, especially if you do it once a week or more often. How did the V15 Detect deal with 3 girls' long hair? Well, it did get them off any surface we had, but cleaning the canister wasn't as easy as just pushing the release into a bin. The long hair (> 16"") did get tangled around the internal filters so it required removing the entire clear canister to get the hair (and dust) off. I would not recommend doing this inside since things get messy. Doing this outside, halfway into your trash bin or bag is best, and watch out for the wind direction! Conclusion ================================= I'd say this is the probably the best cleaning tool we have in the house to-date. We also use a Dyson V7 and an LG CordZero A9. Compared to those, this V15 Detect is certainly bigger and more powerful. Unlike the LG, there's a trigger-mechanism here which may be a deal-breaker for some. Overall though, I do love the Fluffy Optic brush with the green dust illuminator. There's no doubt your floors are getting cleaner when you can literally see the dust that you may have left behind with your other vacuums. Not only that, you can see the stats on the back of the vacuum, showing the types of particles you're getting. I'd say this vacuum (or one of Dyson's other HEPA ones) along with some good air filters should keep homes squeaky-clean for those that are sensitive to dust and dander. I can't stress this enough, the illumination is literally eye-opening and will show you more dust than you care to know you have! This Dyson V15 Detect Extra has definitely made it into the regular cleaning rotation and I think the V7 is about to retire as a small ""spot"" or car vacuum.",Kaizoku,2023-06-10T02:28:34
heavyplague_2025-01-04,5,"It sucks, which is a good thing",[This review was collected as part of a promotion.] I purchased this for my wife. We wanted something that was a little lighter than our other vacuum. It was easy to put together and easy to use. I was amazed as to how much that this vacuum picked up. It also has an auto adjustment that controls the vacuum intensity due to the amount of dirt it is picking up. You can also set it to eco for longer battery life or full boost for very dirty areas. It has a gauge for how much of the various size material it has picked up.,heavyplague,2025-01-04T00:38:59
Vladislav_2024-07-23,1,"Emptying bin issue, same as usual with Dyson","[This review was collected as part of a promotion.] I hoped Dyson fixed issue to make easier fully empty trash bin. But, I guess not. They did raised price drastically, though. In order you to empty fully bin, you have to use some stick to pull it out and get dirt everywhere. Dyson, if you can came out with ideas, look at least around and learn from your competitors...",Vladislav,2024-07-23T18:25:46
momonabudget_2023-11-19,5,Dog Hair Houdini,"[This review was collected as part of a promotion.] Multi dog home has finally met its match! I have tried every vaccum on the market claiming do the near impossible, clean the dog hair from every surface. The Dyson V15 is the only vacuum living up to its reviews. This vacuum pulls the hair from the material of the cushions with a couple passes where other vacuums I’ve purchased would fail to pull the hair with several passes. I would find myself frustrated and unable to get back that time or my OCD sanity. Worth every penny. It is clean, efficient, and honestly FUN! I’ve included i few pictures demonstrating the Dyson accepting the challenge of not only removing the dog hair, but the dander as well! Super gross and SUPER satisfying to see the dander removed.",momonabudget,2023-11-19T16:28:22
RobertW_2023-08-26,5,Dyson V15 Cordless Vac,"[This review was collected as part of a promotion.] I knew someone who has one and likes it. I was looking for a cordless to stop tripping over the cord. One of the attachments features a bright green light at floor level to show particles of dirt to get, which works really well. The vac comes with a variety of attachments and a wall-mounted storage/charging station, easy to install. The only minor issue I should have anticipated was the weight of the mechanical part, which is a little tiring on the wrist and arm but not badly so. It picks up everything well and displays it in a clear tube, which is easy to empty. I also appreciated the customer support I got at Best Buy, purchased at a good price and arranging for pickup at a store in a different state. Altogether, the product and the buying experience were superior.",RobertW,2023-08-26T14:10:19
GaryY_2024-03-01,5,Dyson V15 Detect,[This review was collected as part of a promotion.] I purchased this Dyson V 15 detect two months ago I owned the original Dyson ball several years ago as well as the original. Dyson was a good vacuum. It was very heavy and Cumbus some to get around. I find the V5 as much more powerful as way more suction and is a lot lighter because it’s a cordless. The Dyson V5 also sports some great features that you don’t normally see on the vacuum one of them being a green laser light on the hardwood floor attachment that makes it very easy to see dust that you would not normally see with your eye I’m very happy I decided on the Dyson V 15 I feel it’s worth every penny I paid,GaryY,2024-03-01T21:43:13
Phil278_2024-02-14,5,Light vac that sucks with strength,"I've had Dyson products in the past and have loved them. I'd been eying the v15 Detect for a while and am happy to say that it does not disappoint. I have a roomba-like vacuum robot runs daily and when I use the v15 after it, I can see where the robot's missed things or moved it around. It's light, easy to use, and so much better than my prior cordless stick vac. It's also been great to use with the carpet attachment and that is also so much better than the other stick vac. The power to really clean the carpet with dug-in dust and grime is obvious. I had heard that the dead-man switch to power the vac can be tiring but it's not at all an issue. I love the v15 Detect.",Phil278,2024-02-14T20:31:27
